time,signal
0.5640000000000001,-0.3550000000000005
0.5680000000000001,-0.3599999999999989
0.5720000000000001,-0.3449999999999992
0.5760000000000001,-0.3350000000000011
0.58,-0.3616666666666666
0.584,-0.3583333333333333
0.588,-0.355
0.592,-0.345
0.596,-0.35
0.6,-0.35
0.604,-0.3416666666666667
0.608,-0.345
0.612,-0.36
0.616,-0.3566666666666666
0.62,-0.3366666666666666
0.624,-0.3366666666666666
0.628,-0.35
0.632,-0.365
0.636,-0.345
0.64,-0.3633333333333333
0.644,-0.37
0.648,-0.3716666666666666
0.652,-0.365
0.656,-0.355
0.66,-0.3616666666666666
0.664,-0.39
0.668,-0.385
0.672,-0.365
0.676,-0.3833333333333333
0.68,-0.3766666666666666
0.684,-0.3683333333333333
0.6880000000000001,-0.3449999999999996
0.6920000000000001,-0.335
0.6960000000000001,-0.3450000000000005
0.7000000000000001,-0.3650000000000004
0.704,-0.3716666666666666
0.708,-0.37
0.712,-0.3816666666666666
0.716,-0.3983333333333334
0.72,-0.37
0.724,-0.3466666666666666
0.728,-0.345
0.732,-0.355
0.736,-0.355
0.74,-0.3516666666666666
0.744,-0.395
0.748,-0.3983333333333334
0.752,-0.365
0.756,-0.325
0.76,-0.345
0.764,-0.385
0.768,-0.365
0.772,-0.345
0.776,-0.3316666666666666
0.78,-0.3383333333333334
0.784,-0.3533333333333333
0.788,-0.3366666666666666
0.792,-0.345
0.796,-0.3966666666666666
0.8,-0.395
0.804,-0.355
0.808,-0.345
0.812,-0.3433333333333332
0.8160000000000001,-0.346666666666667
0.8200000000000001,-0.3066666666666657
0.8240000000000001,-0.296666666666667
0.8280000000000001,-0.3200000000000002
0.8320000000000001,-0.3149999999999989
0.836,-0.31
0.84,-0.275
0.844,-0.245
0.848,-0.2183333333333333
0.852,-0.1283333333333333
0.856,-0.005
0.86,0.0183333333333333
0.864,-0.03
0.868,-0.08
0.872,-0.1
0.876,-0.1216666666666666
0.88,-0.1516666666666666
0.884,-0.1833333333333333
0.888,-0.1833333333333333
0.892,-0.225
0.896,-0.2516666666666666
0.9,-0.29
0.904,-0.3083333333333333
0.908,-0.36
0.912,-0.385
0.916,-0.3816666666666666
0.92,-0.3483333333333333
0.924,-0.325
0.928,-0.32
0.932,-0.3325
0.936,-0.335
0.9400000000000001,-0.3333333333333347
0.9440000000000001,-0.3700000000000039
0.9480000000000001,-0.43833333333333546
0.9520000000000001,-0.46166666666666256
0.9560000000000001,-0.31999999999996825
0.96,0.255
0.964,0.895
0.968,1.51
0.972,1.9
0.976,2.0
0.98,1.87
0.984,1.2933333333333332
0.988,0.5133333333333334
0.992,-0.34
0.996,-0.7383333333333333
1.0,-0.55
1.004,-0.4483333333333332
1.008,-0.46
1.012,-0.4483333333333328
1.016,-0.4216666666666661
1.02,-0.3916666666666668
1.024,-0.4083333333333338
1.028,-0.435
1.032,-0.4449999999999994
1.036,-0.415
1.04,-0.4083333333333336
1.044,-0.425
1.048,-0.43
1.052,-0.4333333333333334
1.056,-0.425
1.06,-0.42
1.064,-0.415
1.068,-0.41
1.072,-0.39
1.076,-0.3983333333333339
1.08,-0.4250000000000004
1.084,-0.4399999999999989
1.088,-0.3933333333333327
1.092,-0.38
1.096,-0.3866666666666665
1.1,-0.38
1.104,-0.3749999999999993
1.108,-0.355
1.112,-0.35
1.116,-0.3566666666666669
1.12,-0.3349999999999992
1.124,-0.2983333333333327
1.1280000000000001,-0.2900000000000033
1.1320000000000001,-0.30999999999999694
1.1360000000000001,-0.27499999999999725
1.1400000000000001,-0.25166666666666626
1.1440000000000001,-0.2549999999999989
1.1480000000000001,-0.2416666666666641
1.1520000000000001,-0.21833333333333288
1.156,-0.22
1.16,-0.1700000000000007
1.164,-0.115
1.168,-0.0725000000000002
1.172,-0.085
1.176,-0.095
1.18,-0.0783333333333339
1.184,-0.0100000000000007
1.188,0.026666666666666
1.192,0.015
1.196,0.031666666666666
1.2,0.1
1.204,0.1616666666666654
1.208,0.235
1.212,0.2566666666666661
1.216,0.2899999999999992
1.22,0.376666666666665
1.224,0.4499999999999989
1.228,0.495
1.232,0.5199999999999995
1.236,0.555
1.24,0.6133333333333323
1.244,0.65
1.248,0.6216666666666669
1.252,0.6083333333333331
1.256,0.645
1.26,0.6133333333333323
1.264,0.535
1.268,0.5375000000000014
1.272,0.565
1.276,0.5333333333333329
1.28,0.4999999999999993
1.284,0.4383333333333324
1.288,0.3816666666666654
1.292,0.295
1.296,0.2499999999999996
1.3,0.215
1.304,0.1599999999999996
1.308,0.115
1.312,0.076666666666666
1.316,0.0366666666666658
1.32,0.03
1.324,0.0099999999999992
1.328,-0.04
1.332,-0.0775000000000019
1.336,-0.075
1.34,-0.0716666666666668
1.344,-0.105
1.348,-0.1333333333333335
1.352,-0.1466666666666669
1.356,-0.135
1.36,-0.1866666666666672
1.364,-0.21
1.368,-0.2024999999999991
1.372,-0.21
1.3760000000000001,-0.215000000000002
1.3800000000000001,-0.23833333333333534
1.3840000000000001,-0.2566666666666654
1.3880000000000001,-0.2433333333333326
1.3920000000000001,-0.24000000000000096
1.3960000000000001,-0.24833333333333385
1.4000000000000001,-0.25499999999999895
